17/03/2025 11:48:49 Training is starting...
17/03/2025 11:50:53 Epoch 0 val_loss: 44.11924362
17/03/2025 11:50:53 Epoch 0 train_e_scan_d3: 0.02569047
17/03/2025 11:50:53 Epoch 0 train_f_scan_d3: 0.21482392
17/03/2025 11:50:53 Epoch 0 train_e_scan_d3_rmse: 0.02569047
17/03/2025 11:50:53 Epoch 0 train_f_scan_d3_rmse: 0.21482392
17/03/2025 11:50:53 Epoch 0 lr-Adam: 0.01000000
17/03/2025 11:50:53 Epoch 0 val_e_scan_d3_rmse: 0.02660717
17/03/2025 11:50:53 Epoch 0 val_f_scan_d3_rmse: 0.19990757
17/03/2025 11:53:02 Epoch 1 val_loss: 30.37847900
17/03/2025 11:53:02 Epoch 1 train_e_scan_d3: 0.01732623
17/03/2025 11:53:02 Epoch 1 train_f_scan_d3: 0.32158470
17/03/2025 11:53:02 Epoch 1 train_e_scan_d3_rmse: 0.01732623
17/03/2025 11:53:02 Epoch 1 train_f_scan_d3_rmse: 0.32158470
17/03/2025 11:53:02 Epoch 1 lr-Adam: 0.01000000
17/03/2025 11:53:02 Epoch 1 val_e_scan_d3_rmse: 0.00687280
17/03/2025 11:53:02 Epoch 1 val_f_scan_d3_rmse: 0.17071551
17/03/2025 11:55:14 Epoch 2 val_loss: 46.30826950
17/03/2025 11:55:14 Epoch 2 train_e_scan_d3: 0.03488855
17/03/2025 11:55:14 Epoch 2 train_f_scan_d3: 0.12006146
17/03/2025 11:55:14 Epoch 2 train_e_scan_d3_rmse: 0.03488855
17/03/2025 11:55:14 Epoch 2 train_f_scan_d3_rmse: 0.12006146
17/03/2025 11:55:14 Epoch 2 lr-Adam: 0.01000000
17/03/2025 11:55:14 Epoch 2 val_e_scan_d3_rmse: 0.01680075
17/03/2025 11:55:14 Epoch 2 val_f_scan_d3_rmse: 0.21203451
17/03/2025 11:57:25 Epoch 3 val_loss: 28.32301331
17/03/2025 11:57:25 Epoch 3 train_e_scan_d3: 0.01526961
17/03/2025 11:57:25 Epoch 3 train_f_scan_d3: 0.14252865
17/03/2025 11:57:25 Epoch 3 train_e_scan_d3_rmse: 0.01526961
17/03/2025 11:57:25 Epoch 3 train_f_scan_d3_rmse: 0.14252865
17/03/2025 11:57:25 Epoch 3 lr-Adam: 0.01000000
17/03/2025 11:57:25 Epoch 3 val_e_scan_d3_rmse: 0.01565991
17/03/2025 11:57:25 Epoch 3 val_f_scan_d3_rmse: 0.16166954
17/03/2025 11:59:35 Epoch 4 val_loss: 12.91104412
17/03/2025 11:59:35 Epoch 4 train_e_scan_d3: 0.00516160
17/03/2025 11:59:35 Epoch 4 train_f_scan_d3: 0.16137882
17/03/2025 11:59:35 Epoch 4 train_e_scan_d3_rmse: 0.00516160
17/03/2025 11:59:35 Epoch 4 train_f_scan_d3_rmse: 0.16137882
17/03/2025 11:59:35 Epoch 4 lr-Adam: 0.01000000
17/03/2025 11:59:35 Epoch 4 val_e_scan_d3_rmse: 0.00324605
17/03/2025 11:59:35 Epoch 4 val_f_scan_d3_rmse: 0.10839436
17/03/2025 12:01:46 Epoch 5 val_loss: 25.47063637
17/03/2025 12:01:46 Epoch 5 train_e_scan_d3: 0.05695607
17/03/2025 12:01:46 Epoch 5 train_f_scan_d3: 0.15727964
17/03/2025 12:01:46 Epoch 5 train_e_scan_d3_rmse: 0.05695607
17/03/2025 12:01:46 Epoch 5 train_f_scan_d3_rmse: 0.15727964
17/03/2025 12:01:46 Epoch 5 lr-Adam: 0.01000000
17/03/2025 12:01:46 Epoch 5 val_e_scan_d3_rmse: 0.05512905
17/03/2025 12:01:46 Epoch 5 val_f_scan_d3_rmse: 0.11618406
17/03/2025 12:03:57 Epoch 6 val_loss: 8.51451778
17/03/2025 12:03:57 Epoch 6 train_e_scan_d3: 0.00810562
17/03/2025 12:03:57 Epoch 6 train_f_scan_d3: 0.10744123
17/03/2025 12:03:57 Epoch 6 train_e_scan_d3_rmse: 0.00810562
17/03/2025 12:03:57 Epoch 6 train_f_scan_d3_rmse: 0.10744123
17/03/2025 12:03:57 Epoch 6 lr-Adam: 0.01000000
17/03/2025 12:03:57 Epoch 6 val_e_scan_d3_rmse: 0.00888799
17/03/2025 12:03:57 Epoch 6 val_f_scan_d3_rmse: 0.08756930
17/03/2025 12:06:09 Epoch 7 val_loss: 10.23351574
17/03/2025 12:06:09 Epoch 7 train_e_scan_d3: 0.03092093
17/03/2025 12:06:09 Epoch 7 train_f_scan_d3: 0.11686184
