18/03/2025 08:46:13 Training is starting...
18/03/2025 08:47:43 Epoch 0 val_loss: 115.34980011
18/03/2025 08:47:43 Epoch 0 train_e_revpbe0_d4: 0.03333776
18/03/2025 08:47:43 Epoch 0 train_f_revpbe0_d4: 0.24206258
18/03/2025 08:47:43 Epoch 0 train_e_revpbe0_d4_rmse: 0.03333776
18/03/2025 08:47:43 Epoch 0 train_f_revpbe0_d4_rmse: 0.24206258
18/03/2025 08:47:43 Epoch 0 lr-Adam: 0.01000000
18/03/2025 08:47:43 Epoch 0 val_e_revpbe0_d4_rmse: 0.01366718
18/03/2025 08:47:43 Epoch 0 val_f_revpbe0_d4_rmse: 0.33734134
18/03/2025 08:49:21 Epoch 1 val_loss: 55.69551849
18/03/2025 08:49:21 Epoch 1 train_e_revpbe0_d4: 0.01084242
18/03/2025 08:49:21 Epoch 1 train_f_revpbe0_d4: 0.26202720
18/03/2025 08:49:21 Epoch 1 train_e_revpbe0_d4_rmse: 0.01084242
18/03/2025 08:49:21 Epoch 1 train_f_revpbe0_d4_rmse: 0.26202720
18/03/2025 08:49:21 Epoch 1 lr-Adam: 0.01000000
18/03/2025 08:49:21 Epoch 1 val_e_revpbe0_d4_rmse: 0.01075680
18/03/2025 08:49:21 Epoch 1 val_f_revpbe0_d4_rmse: 0.23432849
18/03/2025 08:50:59 Epoch 2 val_loss: 60.06930923
18/03/2025 08:50:59 Epoch 2 train_e_revpbe0_d4: 0.00479879
18/03/2025 08:50:59 Epoch 2 train_f_revpbe0_d4: 0.11766551
18/03/2025 08:50:59 Epoch 2 train_e_revpbe0_d4_rmse: 0.00479879
18/03/2025 08:50:59 Epoch 2 train_f_revpbe0_d4_rmse: 0.11766551
18/03/2025 08:50:59 Epoch 2 lr-Adam: 0.01000000
18/03/2025 08:50:59 Epoch 2 val_e_revpbe0_d4_rmse: 0.00923239
18/03/2025 08:50:59 Epoch 2 val_f_revpbe0_d4_rmse: 0.24363719
18/03/2025 08:52:37 Epoch 3 val_loss: 18.14718819
18/03/2025 08:52:37 Epoch 3 train_e_revpbe0_d4: 0.00902652
18/03/2025 08:52:37 Epoch 3 train_f_revpbe0_d4: 0.15162154
18/03/2025 08:52:37 Epoch 3 train_e_revpbe0_d4_rmse: 0.00902652
18/03/2025 08:52:37 Epoch 3 train_f_revpbe0_d4_rmse: 0.15162154
18/03/2025 08:52:37 Epoch 3 lr-Adam: 0.01000000
18/03/2025 08:52:37 Epoch 3 val_e_revpbe0_d4_rmse: 0.00588097
18/03/2025 08:52:37 Epoch 3 val_f_revpbe0_d4_rmse: 0.13262419
18/03/2025 08:54:14 Epoch 4 val_loss: 36.36175919
18/03/2025 08:54:14 Epoch 4 train_e_revpbe0_d4: 0.04471712
18/03/2025 08:54:14 Epoch 4 train_f_revpbe0_d4: 0.16025013
18/03/2025 08:54:14 Epoch 4 train_e_revpbe0_d4_rmse: 0.04471712
18/03/2025 08:54:14 Epoch 4 train_f_revpbe0_d4_rmse: 0.16025013
18/03/2025 08:54:14 Epoch 4 lr-Adam: 0.01000000
18/03/2025 08:54:14 Epoch 4 val_e_revpbe0_d4_rmse: 0.05830607
18/03/2025 08:54:14 Epoch 4 val_f_revpbe0_d4_rmse: 0.15277135
18/03/2025 08:55:52 Epoch 5 val_loss: 26.33829308
18/03/2025 08:55:52 Epoch 5 train_e_revpbe0_d4: 0.00689218
18/03/2025 08:55:52 Epoch 5 train_f_revpbe0_d4: 0.12811787
18/03/2025 08:55:52 Epoch 5 train_e_revpbe0_d4_rmse: 0.00689218
18/03/2025 08:55:52 Epoch 5 train_f_revpbe0_d4_rmse: 0.12811787
18/03/2025 08:55:52 Epoch 5 lr-Adam: 0.01000000
18/03/2025 08:55:52 Epoch 5 val_e_revpbe0_d4_rmse: 0.00598546
18/03/2025 08:55:52 Epoch 5 val_f_revpbe0_d4_rmse: 0.16087531
18/03/2025 08:57:30 Epoch 6 val_loss: 11.35063744
18/03/2025 08:57:30 Epoch 6 train_e_revpbe0_d4: 0.01636668
