17/03/2025 12:54:46 Training is starting...
17/03/2025 12:57:04 Epoch 0 val_loss: 52.15597916
17/03/2025 12:57:04 Epoch 0 train_e_tpss_d4: 0.06064731
17/03/2025 12:57:04 Epoch 0 train_f_tpss_d4: 0.21070991
17/03/2025 12:57:04 Epoch 0 train_e_tpss_d4_rmse: 0.06064731
17/03/2025 12:57:04 Epoch 0 train_f_tpss_d4_rmse: 0.21070991
17/03/2025 12:57:04 Epoch 0 lr-Adam: 0.01000000
17/03/2025 12:57:04 Epoch 0 val_e_tpss_d4_rmse: 0.01965975
17/03/2025 12:57:04 Epoch 0 val_f_tpss_d4_rmse: 0.22232859
17/03/2025 12:59:25 Epoch 1 val_loss: 25.78259850
17/03/2025 12:59:25 Epoch 1 train_e_tpss_d4: 0.01387320
17/03/2025 12:59:25 Epoch 1 train_f_tpss_d4: 0.30678749
17/03/2025 12:59:25 Epoch 1 train_e_tpss_d4_rmse: 0.01387320
17/03/2025 12:59:25 Epoch 1 train_f_tpss_d4_rmse: 0.30678749
17/03/2025 12:59:25 Epoch 1 lr-Adam: 0.01000000
17/03/2025 12:59:25 Epoch 1 val_e_tpss_d4_rmse: 0.02973114
17/03/2025 12:59:25 Epoch 1 val_f_tpss_d4_rmse: 0.14703564
17/03/2025 13:01:45 Epoch 2 val_loss: 19.64118958
17/03/2025 13:01:45 Epoch 2 train_e_tpss_d4: 0.01423204
17/03/2025 13:01:45 Epoch 2 train_f_tpss_d4: 0.10447656
17/03/2025 13:01:45 Epoch 2 train_e_tpss_d4_rmse: 0.01423204
17/03/2025 13:01:45 Epoch 2 train_f_tpss_d4_rmse: 0.10447656
17/03/2025 13:01:45 Epoch 2 lr-Adam: 0.01000000
17/03/2025 13:01:45 Epoch 2 val_e_tpss_d4_rmse: 0.01088385
17/03/2025 13:01:45 Epoch 2 val_f_tpss_d4_rmse: 0.13621014
17/03/2025 13:04:05 Epoch 3 val_loss: 33.42958069
17/03/2025 13:04:05 Epoch 3 train_e_tpss_d4: 0.02651410
17/03/2025 13:04:05 Epoch 3 train_f_tpss_d4: 0.18866168
17/03/2025 13:04:05 Epoch 3 train_e_tpss_d4_rmse: 0.02651410
17/03/2025 13:04:05 Epoch 3 train_f_tpss_d4_rmse: 0.18866168
17/03/2025 13:04:05 Epoch 3 lr-Adam: 0.01000000
17/03/2025 13:04:05 Epoch 3 val_e_tpss_d4_rmse: 0.01102074
17/03/2025 13:04:05 Epoch 3 val_f_tpss_d4_rmse: 0.17868033
17/03/2025 13:06:27 Epoch 4 val_loss: 18.51540947
17/03/2025 13:06:27 Epoch 4 train_e_tpss_d4: 0.01059564
17/03/2025 13:06:27 Epoch 4 train_f_tpss_d4: 0.06962231
17/03/2025 13:06:27 Epoch 4 train_e_tpss_d4_rmse: 0.01059564
17/03/2025 13:06:27 Epoch 4 train_f_tpss_d4_rmse: 0.06962231
17/03/2025 13:06:27 Epoch 4 lr-Adam: 0.01000000
17/03/2025 13:06:27 Epoch 4 val_e_tpss_d4_rmse: 0.01286515
17/03/2025 13:06:27 Epoch 4 val_f_tpss_d4_rmse: 0.12986690
17/03/2025 13:08:49 Epoch 5 val_loss: 14.45329571
17/03/2025 13:08:49 Epoch 5 train_e_tpss_d4: 0.00466570
17/03/2025 13:08:49 Epoch 5 train_f_tpss_d4: 0.11031569
17/03/2025 13:08:49 Epoch 5 train_e_tpss_d4_rmse: 0.00466570
17/03/2025 13:08:49 Epoch 5 train_f_tpss_d4_rmse: 0.11031569
17/03/2025 13:08:49 Epoch 5 lr-Adam: 0.01000000
17/03/2025 13:08:49 Epoch 5 val_e_tpss_d4_rmse: 0.01632347
17/03/2025 13:08:49 Epoch 5 val_f_tpss_d4_rmse: 0.11241505
17/03/2025 13:11:12 Epoch 6 val_loss: 15.70074463
17/03/2025 13:11:12 Epoch 6 train_e_tpss_d4: 0.00490361
17/03/2025 13:11:12 Epoch 6 train_f_tpss_d4: 0.15002862
17/03/2025 13:11:12 Epoch 6 train_e_tpss_d4_rmse: 0.00490361
17/03/2025 13:11:12 Epoch 6 train_f_tpss_d4_rmse: 0.15002862
17/03/2025 13:11:12 Epoch 6 lr-Adam: 0.01000000
17/03/2025 13:11:12 Epoch 6 val_e_tpss_d4_rmse: 0.01711250
17/03/2025 13:11:12 Epoch 6 val_f_tpss_d4_rmse: 0.11932895
17/03/2025 13:13:35 Epoch 7 val_loss: 22.76917076
17/03/2025 13:13:35 Epoch 7 train_e_tpss_d4: 0.01044075
17/03/2025 13:13:35 Epoch 7 train_f_tpss_d4: 0.13047245
17/03/2025 13:13:35 Epoch 7 train_e_tpss_d4_rmse: 0.01044075
17/03/2025 13:13:35 Epoch 7 train_f_tpss_d4_rmse: 0.13047245
17/03/2025 13:13:35 Epoch 7 lr-Adam: 0.01000000
17/03/2025 13:13:35 Epoch 7 val_e_tpss_d4_rmse: 0.01693440
17/03/2025 13:13:35 Epoch 7 val_f_tpss_d4_rmse: 0.14575498
17/03/2025 13:15:55 Epoch 8 val_loss: 9.23487091
17/03/2025 13:15:55 Epoch 8 train_e_tpss_d4: 0.01569610
17/03/2025 13:15:55 Epoch 8 train_f_tpss_d4: 0.11397886
17/03/2025 13:15:55 Epoch 8 train_e_tpss_d4_rmse: 0.01569610
17/03/2025 13:15:55 Epoch 8 train_f_tpss_d4_rmse: 0.11397886
17/03/2025 13:15:55 Epoch 8 lr-Adam: 0.01000000
17/03/2025 13:15:55 Epoch 8 val_e_tpss_d4_rmse: 0.01486743
17/03/2025 13:15:55 Epoch 8 val_f_tpss_d4_rmse: 0.08764706
17/03/2025 13:18:17 Epoch 9 val_loss: 23.94766617
17/03/2025 13:18:17 Epoch 9 train_e_tpss_d4: 0.01012093
17/03/2025 13:18:17 Epoch 9 train_f_tpss_d4: 0.14042963
17/03/2025 13:18:17 Epoch 9 train_e_tpss_d4_rmse: 0.01012093
17/03/2025 13:18:17 Epoch 9 train_f_tpss_d4_rmse: 0.14042963
17/03/2025 13:18:17 Epoch 9 lr-Adam: 0.01000000
17/03/2025 13:18:17 Epoch 9 val_e_tpss_d4_rmse: 0.01483871
17/03/2025 13:18:17 Epoch 9 val_f_tpss_d4_rmse: 0.15134792
17/03/2025 13:20:39 Epoch 10 val_loss: 12.63661480
17/03/2025 13:20:39 Epoch 10 train_e_tpss_d4: 0.01144386
17/03/2025 13:20:39 Epoch 10 train_f_tpss_d4: 0.08395842
17/03/2025 13:20:39 Epoch 10 train_e_tpss_d4_rmse: 0.01144386
17/03/2025 13:20:39 Epoch 10 train_f_tpss_d4_rmse: 0.08395842
17/03/2025 13:20:39 Epoch 10 lr-Adam: 0.01000000
17/03/2025 13:20:39 Epoch 10 val_e_tpss_d4_rmse: 0.00446181
17/03/2025 13:20:39 Epoch 10 val_f_tpss_d4_rmse: 0.10812937
17/03/2025 13:23:01 Epoch 11 val_loss: 9.33466625
17/03/2025 13:23:01 Epoch 11 train_e_tpss_d4: 0.01240615
17/03/2025 13:23:01 Epoch 11 train_f_tpss_d4: 0.10632299
17/03/2025 13:23:01 Epoch 11 train_e_tpss_d4_rmse: 0.01240615
17/03/2025 13:23:01 Epoch 11 train_f_tpss_d4_rmse: 0.10632299
17/03/2025 13:23:01 Epoch 11 lr-Adam: 0.01000000
17/03/2025 13:23:01 Epoch 11 val_e_tpss_d4_rmse: 0.01333292
17/03/2025 13:23:01 Epoch 11 val_f_tpss_d4_rmse: 0.08282509
17/03/2025 13:25:24 Epoch 12 val_loss: 8.43708515
17/03/2025 13:25:24 Epoch 12 train_e_tpss_d4: 0.00546652
17/03/2025 13:25:24 Epoch 12 train_f_tpss_d4: 0.11287691
17/03/2025 13:25:24 Epoch 12 train_e_tpss_d4_rmse: 0.00546652
17/03/2025 13:25:24 Epoch 12 train_f_tpss_d4_rmse: 0.11287691
17/03/2025 13:25:24 Epoch 12 lr-Adam: 0.01000000
17/03/2025 13:25:24 Epoch 12 val_e_tpss_d4_rmse: 0.00741673
17/03/2025 13:25:24 Epoch 12 val_f_tpss_d4_rmse: 0.08710143
17/03/2025 13:27:45 Epoch 13 val_loss: 8.65498066
17/03/2025 13:27:45 Epoch 13 train_e_tpss_d4: 0.00280167
17/03/2025 13:27:45 Epoch 13 train_f_tpss_d4: 0.09312648
17/03/2025 13:27:45 Epoch 13 train_e_tpss_d4_rmse: 0.00280167
17/03/2025 13:27:45 Epoch 13 train_f_tpss_d4_rmse: 0.09312648
17/03/2025 13:27:45 Epoch 13 lr-Adam: 0.01000000
17/03/2025 13:27:45 Epoch 13 val_e_tpss_d4_rmse: 0.01342885
17/03/2025 13:27:45 Epoch 13 val_f_tpss_d4_rmse: 0.08467048
17/03/2025 13:30:06 Epoch 14 val_loss: 11.95655155
17/03/2025 13:30:06 Epoch 14 train_e_tpss_d4: 0.00084060
17/03/2025 13:30:06 Epoch 14 train_f_tpss_d4: 0.07876578
17/03/2025 13:30:06 Epoch 14 train_e_tpss_d4_rmse: 0.00084060
17/03/2025 13:30:06 Epoch 14 train_f_tpss_d4_rmse: 0.07876578
17/03/2025 13:30:06 Epoch 14 lr-Adam: 0.01000000
17/03/2025 13:30:06 Epoch 14 val_e_tpss_d4_rmse: 0.00688534
17/03/2025 13:30:06 Epoch 14 val_f_tpss_d4_rmse: 0.10635851
17/03/2025 13:32:28 Epoch 15 val_loss: 8.19046974
17/03/2025 13:32:28 Epoch 15 train_e_tpss_d4: 0.00585065
17/03/2025 13:32:28 Epoch 15 train_f_tpss_d4: 0.09277254
17/03/2025 13:32:28 Epoch 15 train_e_tpss_d4_rmse: 0.00585065
17/03/2025 13:32:28 Epoch 15 train_f_tpss_d4_rmse: 0.09277254
17/03/2025 13:32:28 Epoch 15 lr-Adam: 0.01000000
17/03/2025 13:32:28 Epoch 15 val_e_tpss_d4_rmse: 0.00235853
17/03/2025 13:32:28 Epoch 15 val_f_tpss_d4_rmse: 0.08638342
17/03/2025 13:34:49 Epoch 16 val_loss: 8.88941383
17/03/2025 13:34:49 Epoch 16 train_e_tpss_d4: 0.00769457
17/03/2025 13:34:49 Epoch 16 train_f_tpss_d4: 0.06382837
17/03/2025 13:34:49 Epoch 16 train_e_tpss_d4_rmse: 0.00769457
17/03/2025 13:34:49 Epoch 16 train_f_tpss_d4_rmse: 0.06382837
17/03/2025 13:34:49 Epoch 16 lr-Adam: 0.01000000
17/03/2025 13:34:49 Epoch 16 val_e_tpss_d4_rmse: 0.02972171
17/03/2025 13:34:49 Epoch 16 val_f_tpss_d4_rmse: 0.07221159
17/03/2025 13:37:10 Epoch 17 val_loss: 11.47478294
17/03/2025 13:37:10 Epoch 17 train_e_tpss_d4: 0.00335161
17/03/2025 13:37:10 Epoch 17 train_f_tpss_d4: 0.05597688
17/03/2025 13:37:10 Epoch 17 train_e_tpss_d4_rmse: 0.00335161
17/03/2025 13:37:10 Epoch 17 train_f_tpss_d4_rmse: 0.05597688
17/03/2025 13:37:10 Epoch 17 lr-Adam: 0.01000000
17/03/2025 13:37:10 Epoch 17 val_e_tpss_d4_rmse: 0.01288850
17/03/2025 13:37:10 Epoch 17 val_f_tpss_d4_rmse: 0.09731801
17/03/2025 13:39:29 Epoch 18 val_loss: 9.08318806
17/03/2025 13:39:29 Epoch 18 train_e_tpss_d4: 0.00857520
17/03/2025 13:39:29 Epoch 18 train_f_tpss_d4: 0.09914047
17/03/2025 13:39:29 Epoch 18 train_e_tpss_d4_rmse: 0.00857520
17/03/2025 13:39:29 Epoch 18 train_f_tpss_d4_rmse: 0.09914047
